anchorage_id,anchorage_name,anchorage_sublabel,lat,lon,total_visits,top_destination,iso3,distance_from_shore_m,dock
8c406817,GROS ISLET,NA,14.06784994925451,-60.96645049445804,38,CT,LCA,0,TRUE
8c40682d,GROS ISLET,NA,14.08708184724382,-60.961911941602345,1265,ST LUCIA,LCA,0,FALSE
8c4069d3,GROS ISLET,NA,14.090204329216892,-60.963086440204506,1108,B ISLE DE S,LCA,0,TRUE
8c406825,GROS ISLET,NA,14.076462331644626,-60.96087172653631,745,ST LUCIA,LCA,0,FALSE
8c40682f,GROS ISLET,NA,14.081550007015581,-60.96157220566822,515,RODNEY BAY,LCA,0,FALSE
8c406827,GROS ISLET,NA,14.076279041686842,-60.95817239095743,2928,ALU,LCA,0,TRUE
8c40429f,GROS ISLET,NA,14.07155765660069,-60.95203410158625,283,CONG,LCA,0,TRUE
8c40429d,GROS ISLET,NA,14.074856367460784,-60.94969763292096,6693,ST LUCIA,LCA,0,TRUE
8c406833,GROS ISLET,NA,14.086801448791688,-60.96642804843169,45,PIGEON ISLAND,LCA,2000,TRUE
8c14a481,GUADELOUPE,NA,15.862735554102482,-61.60279059551782,139,GUADELOUPE,GLP,0,TRUE
8c136613,GUADELOUPE,NA,16.172254066186305,-61.7808978042274,106,GUADELOUPE,GLP,0,TRUE
8c14a47b,GUADELOUPE,NA,15.873434900860028,-61.5981662356291,187,GUADELOUPE,GLP,0,TRUE
8c14a463,GUADELOUPE,NA,15.867014352244198,-61.59174613335861,301,GUADELOUPE,GLP,1000,TRUE
8c0e755b,GUSTAVIA,NA,17.910140316101103,-62.83547355321995,28,ST BARTS,GLP,0,TRUE
8c0e0ad3,GUSTAVIA,NA,17.897769994978518,-62.86359296678883,103,ST BARTHS,GLP,0,FALSE
8c0e0acd,GUSTAVIA,NA,17.898897677406648,-62.858123435215425,2953,ST BARTHS,GLP,0,FALSE
8c0e0ab9,GUSTAVIA,NA,17.886484334061596,-62.84830232173484,160,ST BARTHS,GLP,0,TRUE
8c0e0ac7,GUSTAVIA,NA,17.887968469583953,-62.85168320943349,108,ST BARTHS,GLP,0,TRUE
8c0e7535,GUSTAVIA,NA,17.901795777983605,-62.85392825982269,487,ST BARTHS,GLP,0,TRUE
8c0e0acb,GUSTAVIA,NA,17.897781327821328,-62.8510246924411,9505,ST BARTHS,GLP,0,TRUE
8c0e74d5,GUSTAVIA,NA,17.90656834354898,-62.87535221882184,76,GUSTAVIA,GLP,1000,FALSE
8c0e74d7,GUSTAVIA,NA,17.911501455834536,-62.87587188378402,275,GUSTAVIA,GLP,1000,FALSE
8c0e752d,GUSTAVIA,NA,17.905076418419853,-62.86425723345294,2225,ST BARTHS,GLP,1000,TRUE
8c0e0acf,GUSTAVIA,NA,17.89347851116499,-62.85940859396089,277,GUSTAVIA,GLP,1000,FALSE
8c0e0ad1,GUSTAVIA,NA,17.894632912818523,-62.86357519278881,146,GUSTAVIA,GLP,1000,FALSE
8c0de005,GUSTAVIA,NA,17.88522911202732,-62.819526289573645,25,ST BARTHS,GLP,2000,TRUE
8a2d146f,HAMILTON,NA,32.292357117156406,-64.7775926464596,2765,HAMILTON,BMU,0,TRUE
8c057083,HENG,NA,18.374082411664006,-64.5312983749469,345,HENG,VGB,0,TRUE
8c387ae7,HILLSBOROUGH,NA,12.481507642176187,-61.48599399659809,103,CARRIACOU,GRD,0,FALSE
8c387ae3,HILLSBOROUGH,NA,12.483476493264497,-61.482193539191044,1134,CARRIACOU,GRD,0,FALSE
8c387bab,HILLSBOROUGH,NA,12.487190136008866,-61.462914115589946,140,CARRIACOU,GRD,0,FALSE
8c387a95,HILLSBOROUGH,NA,12.463027120698573,-61.48556723496311,63,TERREL BAY,GRD,0,TRUE
0b478b19,HORTA,NA,38.53198303583535,-28.617544964628923,33,HORTA,PRT,1000,TRUE
0b478b1d,HORTA,NA,38.52796542912703,-28.62400159999858,546,AZHOUDAO,PRT,1000,TRUE
0b478b27,HORTA,NA,38.53999972325326,-28.621069124765363,1780,HORTA MADALENA HORTA,PRT,1000,TRUE
863f669f,HOUSTON,A H E AS,29.608092127512926,-94.95292911277443,75,A H E AS,USA,0,FALSE
134a7ee3,HVAR,NA,43.1337595702185,16.586074862810946,108,PGBG,HRV,2000,TRUE
